Wilayah;SD_2017;SD_2018;SD_2019;SMP_2017;SMP_2018;SMP_2019;SMA_2017;SMA_2018;SMA_2019;PT_2017;PT_2018;PT_2019
Provinsi Jawa Barat;98.05;98.25;98.27;80.29;81.01;81.26;57.22;57.33;57.53;16.68;17.12;17.14
Bogor;99.77;99.20;99.26;79.46;84.03;83.45;55.20;52.76;53.31;20.31;24.32;23.55
Sukabumi;99.21;99.36;99.30;83.80;81.86;82.01;48.74;49.68;50.65;7.60;8.59;7.64
Cianjur;98.50;98.39;98.49;75.48;79.05;79.24;44.87;44.78;44.55;5.57;3.71;4.58
Bandung;98.58;99.06;99.02;80.43;82.12;82.06;57.03;53.44;52.75;14.25;15.61;16.39
Garut;98.41;99.27;99.17;77.74;78.83;82.60;49.49;50.90;51.04;7.89;6.47;6.64
Tasikmalaya;99.42;98.86;98.91;83.11;85.84;88.91;55.67;59.70;60.66;10.26;13.94;14.18
Ciamis;96.35;97.60;97.88;84.66;84.67;84.73;50.56;51.38;50.68;12.74;10.40;11.11
Kuningan;96.46;95.48;95.57;75.50;77.84;79.60;63.16;67.45;66.79;11.47;12.23;11.55
Cirebon;95.42;96.11;95.78;82.48;79.80;79.60;55.39;58.93;59.41;13.58;11.98;12.51
Majalengka;95.83;98.17;98.36;78.50;79.15;81.45;63.10;61.45;60.58;12.82;8.76;9.09
Sumedang;97.93;95.43;95.76;83.51;88.27;88.29;44.62;43.45;44.20;17.76;15.25;17.35
Indramayu;98.42;98.75;98.69;75.60;76.14;77.22;55.02;55.96;55.89;6.92;7.99;8.83
Subang;96.34;98.45;98.88;80.10;80.04;79.74;51.77;52.89;51.82;7.87;5.73;3.69
Purwakarta;97.91;96.08;95.51;74.90;72.59;72.42;55.20;55.35;56.07;12.27;8.40;9.66
Karawang;98.15;98.05;97.99;80.82;80.19;79.88;55.97;56.93;56.69;10.16;10.14;9.40
Bekasi;99.57;99.12;99.03;82.98;81.28;80.82;59.62;58.13;57.61;17.53;21.40;20.33
Bandung Barat;96.76;97.55;97.76;75.45;78.03;77.29;52.36;48.86;49.58;9.89;8.88;9.45
Pangandaran;97.46;95.34;95.19;78.00;82.32;84.72;62.53;67.41;67.92;8.30;5.14;4.84
Kota Bogor;95.44;95.60;95.47;74.75;75.08;74.91;61.21;61.77;62.21;31.08;27.92;28.67
Kota Sukabumi;97.27;96.87;96.95;77.91;80.66;82.19;69.64;73.06;71.28;25.07;24.71;23.88
Kota Bandung;97.22;98.88;98.73;83.53;79.58;80.00;65.78;67.34;68.00;34.07;34.50;33.96
Kota Cirebon;97.26;94.85;95.45;74.36;71.91;70.54;65.02;65.93;66.85;14.40;13.96;16.54
Kota Bekasi;98.68;98.93;98.72;87.03;84.98;84.16;70.39;71.04;70.37;25.22;23.78;24.68
Kota Depok;95.45;98.44;98.36;81.81;78.72;78.02;71.02;75.01;74.34;26.58;28.77;29.27
Kota Cimahi;97.63;95.90;96.39;77.68;80.70;80.33;69.61;71.74;71.09;23.12;18.61;19.28
Kota Tasikmalaya;96.90;94.63;94.59;76.65;78.53;81.31;66.52;69.36;70.30;21.05;17.01;17.94
Kota Banjar;98.62;98.97;99.32;83.93;86.63;85.56;73.82;71.59;71.66;15.41;15.68;15.10
